지점,지점명,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도(%)
904,사상,2023-03-05 06:00,2.8,23.3,1.9,0,87
904,사상,2023-03-05 07:00,3,45.8,1.9,0,90
904,사상,2023-03-05 08:00,5,25.9,1.8,0,81
904,사상,2023-03-05 09:00,7.7,18.6,2.3,0,70
904,사상,2023-03-05 10:00,10.6,305,1.4,0,59
904,사상,2023-03-05 11:00,12.9,303.8,2.4,0,50
904,사상,2023-03-05 12:00,13.9,284.2,1.5,0,46
904,사상,2023-03-05 13:00,14.4,205.7,3.2,0,49
904,사상,2023-03-05 14:00,15,146.7,3.4,0,48
904,사상,2023-03-05 15:00,14.4,158.1,3.3,0,50
904,사상,2023-03-05 16:00,13.7,134.6,2.9,0,50
904,사상,2023-03-05 17:00,13,149,3.1,0,54
904,사상,2023-03-05 18:00,11.7,152,2.6,0,58
904,사상,2023-03-05 19:00,11.2,130.9,2.1,0,60
904,사상,2023-03-05 20:00,10.4,153.7,.7,0,63
904,사상,2023-03-05 21:00,8,33.8,1.8,0,73
904,사상,2023-03-05 22:00,5.2,11.8,.8,0,84
904,사상,2023-03-05 23:00,4.5,0,.4,0,88
904,사상,2023-03-06 00:00,3.5,340.8,1,0,92
904,사상,2023-03-06 01:00,3.2,339.9,1.4,0,91
904,사상,2023-03-06 02:00,3.7,.8,1.1,0,93
904,사상,2023-03-06 03:00,3.8,338.9,1.1,0,92
904,사상,2023-03-06 04:00,2.9,14,1,0,95
904,사상,2023-03-06 05:00,2.2,357.6,1,0,96
904,사상,2023-03-06 06:00,2.3,319.2,.7,0,96
904,사상,2023-03-06 07:00,2.1,347.1,1.4,0,97
904,사상,2023-03-06 08:00,4.6,325,1.7,0,93
904,사상,2023-03-06 09:00,7.7,309.4,.7,0,82
904,사상,2023-03-06 10:00,11.2,16.3,.6,0,64
904,사상,2023-03-06 11:00,13.2,304.8,1,0,52
904,사상,2023-03-06 12:00,15.4,249,1.4,0,41
904,사상,2023-03-06 13:00,15.6,196.1,5.2,0,37
904,사상,2023-03-06 14:00,15.9,200.4,6,0,42
904,사상,2023-03-06 15:00,15.8,205.7,5.8,0,38
904,사상,2023-03-06 16:00,16.1,193.5,5.4,0,32
904,사상,2023-03-06 17:00,14.4,199.2,6.1,0,47
904,사상,2023-03-06 18:00,13.4,192,5,0,52
904,사상,2023-03-06 19:00,11.5,197.9,3.4,0,60
904,사상,2023-03-06 20:00,12.3,184.6,3.8,0,54
904,사상,2023-03-06 21:00,10.6,197.3,2.7,0,63
904,사상,2023-03-06 22:00,10.9,192.1,2.7,0,67
904,사상,2023-03-06 23:00,10.3,187.1,2.7,0,71
904,사상,2023-03-07 00:00,8,199.4,1.1,0,83
904,사상,2023-03-07 01:00,3.7,9.4,1.7,0,91
904,사상,2023-03-07 02:00,4.3,338.4,.9,0,89
904,사상,2023-03-07 03:00,3.5,36.6,1,0,90
904,사상,2023-03-07 04:00,2.3,325.4,.6,0,92
904,사상,2023-03-07 05:00,2,0,.2,0,93
904,사상,2023-03-07 06:00,1.9,331.5,1.2,0,93
904,사상,2023-03-07 07:00,2.9,340.7,1.4,0,93
904,사상,2023-03-07 08:00,5.3,339.7,.8,0,89
904,사상,2023-03-07 09:00,8.6,17,1,0,75
904,사상,2023-03-07 10:00,12.9,189.3,1.8,0,56
904,사상,2023-03-07 11:00,15.3,195.6,3.2,0,47
